"","ID","nLoans","Number_of_Loan","Start","Paid","Duration"
"447",5346231779,2,2,2014-05-22,NA,NA
"448",5348003279,4,4,2015-08-15,NA,NA
"449",5359782636,3,3,2015-05-04,NA,NA
"450",5371237857,4,4,2015-07-28,NA,NA
"451",5373890168,1,1,2015-03-24,NA,NA
"452",5377931105,4,4,2014-12-20,NA,NA
"453",5410424023,4,4,2015-08-09,NA,NA
"454",5413136059,3,3,2015-07-30,NA,NA
"455",5418329969,3,3,2015-07-16,NA,NA
"456",5433168922,2,2,2015-03-23,NA,NA
"457",5445931408,3,3,2015-03-30,NA,NA
"458",5449485614,9,8,2015-07-19,NA,NA
"459",5449485614,9,9,2015-08-15,NA,NA
"460",5468470748,1,1,2014-12-15,NA,NA
"461",5476885599,1,1,2014-11-06,NA,NA
"462",5482790346,1,1,2014-07-20,NA,NA
"463",5489995289,2,2,2015-04-09,NA,NA
"464",5494244789,3,3,2015-08-17,NA,NA
"465",5494601411,4,4,2015-08-02,NA,NA
"466",5507647821,1,1,2015-07-28,NA,NA
"467",5511522687,3,3,2015-04-18,NA,NA
"468",5511930733,3,3,2015-08-08,NA,NA
"469",5517270647,1,1,2014-12-17,NA,NA
"470",5517830861,5,5,2015-07-10,NA,NA
"471",5521864872,1,1,2014-07-15,NA,NA
"472",5523890760,1,1,2015-05-30,NA,NA
"473",5534019509,14,14,2015-08-15,NA,NA
"474",5537661525,2,2,2015-04-08,NA,NA
"475",5555593102,9,9,2015-08-12,NA,NA
"476",5559702426,3,3,2015-08-17,NA,NA
"477",5560444736,1,1,2015-06-26,NA,NA
"478",5563120467,1,1,2014-06-09,NA,NA
"479",5570008040,4,4,2015-07-31,NA,NA
"480",5571509882,2,2,2015-08-15,NA,NA
"481",5574393088,5,5,2015-06-08,NA,NA
"482",5579357593,1,1,2015-07-24,NA,NA
"483",5594363895,1,1,2015-07-20,NA,NA
"484",5610431323,2,2,2015-08-17,NA,NA
"485",5618080444,11,11,2015-08-01,NA,NA
"486",5626937841,2,2,2015-07-19,NA,NA
"487",5631408893,1,1,2015-05-01,NA,NA
"488",5638293141,1,1,2014-09-06,NA,NA
"489",5647000446,17,17,2015-07-12,NA,NA
"490",5657424461,9,9,2015-08-17,NA,NA
"491",5665931957,4,4,2015-08-13,NA,NA
"492",5695084415,3,3,2015-06-24,NA,NA
"493",5709904884,3,3,2015-06-22,NA,NA
"494",5729162586,2,2,2015-08-11,NA,NA
"495",5732259298,1,1,2015-04-20,NA,NA
"496",5736208977,4,4,2015-04-30,NA,NA
"497",5741429746,3,3,2015-05-09,NA,NA
"498",5747178338,5,5,2015-08-09,NA,NA
"499",5755633864,1,1,2015-07-18,NA,NA
"500",5773051173,3,3,2015-07-24,NA,NA
"501",5777469792,2,2,2014-10-15,NA,NA
"502",5781022158,1,1,2014-12-20,NA,NA
"503",5781556178,3,3,2015-08-14,NA,NA
"504",5783698569,6,6,2015-05-29,NA,NA
"505",5799676461,2,2,2014-11-04,NA,NA
"506",5804388965,3,3,2015-04-30,NA,NA
"507",5809370917,1,1,2015-07-23,NA,NA
"508",5810007060,1,1,2014-11-28,NA,NA
"509",5815782196,1,1,2014-12-11,NA,NA
"510",5816669626,8,8,2015-08-17,NA,NA
"511",5825472282,1,1,2014-08-18,NA,NA
"512",5826558835,7,7,2015-01-29,NA,NA
"513",5833760454,5,5,2015-07-31,NA,NA
"514",5843534196,5,5,2015-07-15,NA,NA
"515",5849887456,1,1,2015-05-04,NA,NA
"516",5868139297,3,3,2014-10-10,NA,NA
"517",5875230942,1,1,2014-06-09,NA,NA
"518",5896978842,4,4,2015-05-12,NA,NA
"519",5898120995,10,10,2015-08-19,NA,NA
"520",5903857819,1,1,2015-01-29,NA,NA
"521",5907430016,7,7,2015-08-15,NA,NA
"522",5916800459,1,1,2014-10-06,NA,NA
"523",5923715507,3,2,2015-08-09,NA,NA
"524",5923715507,3,3,2015-08-18,NA,NA
"525",5935455253,2,2,2015-03-14,NA,NA
"526",5936413151,12,12,2015-07-25,NA,NA
"527",5941788941,1,1,2015-06-20,NA,NA
"528",5945488348,2,2,2015-04-09,NA,NA
"529",5955541479,7,7,2015-08-08,NA,NA
"530",5958664143,1,1,2014-06-03,NA,NA
"531",5988618720,2,2,2015-07-08,NA,NA
"532",6013334660,3,3,2015-07-17,NA,NA
"533",6015554652,7,7,2015-07-25,NA,NA
"534",6033880411,10,10,2015-07-25,NA,NA
"535",6034981056,4,4,2015-07-25,NA,NA
"536",6055146943,1,1,2015-04-09,NA,NA
"537",6059655032,4,4,2015-08-06,NA,NA
"538",6060950564,7,7,2015-08-17,NA,NA
"539",6094242225,1,1,2015-07-27,NA,NA
"540",6108121189,3,3,2015-05-01,NA,NA
"541",6124720801,7,7,2015-08-13,NA,NA
"542",6127719079,5,5,2015-08-06,NA,NA
"543",6130454619,14,14,2015-06-19,NA,NA
"544",6133370972,7,7,2014-12-16,NA,NA
"545",6149299222,1,1,2014-12-11,NA,NA
"546",6166787811,1,1,2015-07-14,NA,NA
