"","ID","nLoans","Number_of_Loan","Start","Paid","Duration"
"350",2001759865,3,1,2015-05-01,2015-06-02,32
"351",2001759865,3,2,2015-06-02,2015-06-15,13
"352",2003490834,3,1,2015-06-25,2015-07-16,21
"353",2003490834,3,2,2015-07-17,2015-08-07,21
"354",2003808034,2,1,2015-06-12,2015-06-30,18
"355",2003808034,2,2,2015-07-04,2015-07-10,6
"356",2010370470,2,1,2015-05-21,2015-06-04,14
"357",2017422091,5,1,2015-06-22,2015-06-25,3
"358",2017422091,5,2,2015-06-27,2015-07-07,10
"359",2017422091,5,3,2015-07-08,2015-07-18,10
"360",2017422091,5,4,2015-07-20,2015-07-31,11
"361",2017422091,5,5,2015-07-31,2015-08-11,11
"362",2037137184,2,1,2015-04-13,2015-07-05,83
"363",2046310222,12,1,2015-01-29,2015-02-14,16
"364",2046310222,12,2,2015-02-17,2015-03-10,21
"365",2046310222,12,3,2015-03-10,2015-03-27,17
"366",2046310222,12,4,2015-03-27,2015-04-10,14
"367",2046310222,12,5,2015-04-10,2015-04-25,15
"368",2046310222,12,6,2015-04-25,2015-05-11,16
"369",2046310222,12,7,2015-05-11,2015-05-28,17
"370",2046310222,12,8,2015-05-28,2015-06-19,22
"371",2046310222,12,9,2015-06-19,2015-07-08,19
"372",2046310222,12,10,2015-07-08,2015-07-28,20
"373",2046310222,12,11,2015-07-28,2015-08-18,21
"374",2048939339,2,1,2015-02-26,2015-03-20,22
"375",2063379792,6,1,2014-08-13,2014-10-08,56
"376",2063379792,6,2,2014-11-08,2014-11-17,9
"377",2063379792,6,3,2014-11-30,2015-01-28,59
"378",2063379792,6,4,2015-01-31,2015-03-05,33
"379",2063379792,6,5,2015-03-31,2015-05-21,51
"380",2105390081,1,1,2015-07-22,2015-08-12,21
"381",2121469740,2,1,2015-07-27,2015-08-11,15
"382",2133314717,3,1,2015-05-07,2015-05-17,10
"383",2133314717,3,2,2015-05-17,2015-05-20,3
"384",2136127632,2,1,2015-05-28,2015-06-26,29
"385",2151054057,5,1,2014-10-10,2014-10-28,18
"386",2151054057,5,2,2014-10-28,2014-11-18,21
"387",2151054057,5,3,2014-11-19,2014-12-06,17
"388",2151054057,5,4,2014-12-06,2014-12-18,12
"389",2151915927,2,1,2015-07-10,2015-07-25,15
"390",2151915927,2,2,2015-07-25,2015-08-07,13
"391",2158215982,4,1,2015-07-07,2015-07-18,11
"392",2158215982,4,2,2015-07-18,2015-07-25,7
"393",2158215982,4,3,2015-07-25,2015-08-14,20
"394",2172723080,3,1,2015-06-22,2015-07-20,28
"395",2174427212,5,1,2015-06-21,2015-06-29,8
"396",2174427212,5,2,2015-06-29,2015-07-05,6
"397",2174427212,5,3,2015-07-06,2015-07-13,7
"398",2174427212,5,4,2015-07-13,2015-08-03,21
"399",2191396226,4,1,2015-03-27,2015-04-11,15
"400",2191396226,4,2,2015-04-14,2015-04-29,15
"401",2191396226,4,3,2015-05-03,2015-05-22,19
"402",2201817874,2,1,2015-05-11,2015-06-06,26
"403",2235447216,2,1,2015-07-23,2015-08-07,15
"404",2246622383,2,1,2015-07-07,2015-07-29,22
"405",2257223953,6,1,2015-06-03,2015-06-20,17
"406",2257223953,6,2,2015-06-20,2015-06-22,2
"407",2257223953,6,3,2015-06-22,2015-06-29,7
"408",2257223953,6,4,2015-06-29,2015-07-14,15
"409",2257223953,6,5,2015-07-14,2015-08-03,20
"410",2258471198,6,1,2015-05-06,2015-05-23,17
"411",2258471198,6,2,2015-05-23,2015-06-06,14
"412",2258471198,6,3,2015-06-07,2015-06-27,20
"413",2258471198,6,4,2015-06-29,2015-07-17,18
"414",2258471198,6,5,2015-07-17,2015-08-07,21
"415",2269998618,3,1,2015-06-26,2015-07-16,20
"416",2269998618,3,2,2015-07-17,2015-08-02,16
"417",2283557917,7,1,2014-05-02,2014-05-07,5
"418",2283557917,7,2,2014-05-07,2014-05-16,9
"419",2283557917,7,3,2014-05-16,2014-05-30,14
"420",2283557917,7,4,2014-06-17,2014-07-05,18
"421",2283557917,7,5,2014-07-09,2014-08-07,29
"422",2283557917,7,6,2014-08-09,2014-09-25,47
"423",2287514871,1,1,2014-05-03,2014-05-24,21
"424",2300851247,2,1,2015-06-16,2015-07-09,23
"425",2320175519,6,1,2015-05-08,2015-05-26,18
"426",2320175519,6,2,2015-05-29,2015-06-15,17
"427",2320175519,6,3,2015-06-15,2015-07-03,18
"428",2320175519,6,4,2015-07-03,2015-07-30,27
"429",2320175519,6,5,2015-08-01,2015-08-17,16
"430",2327560619,3,1,2015-01-17,2015-02-03,17
"431",2327560619,3,2,2015-02-10,2015-02-23,13
"432",2345287133,1,1,2015-07-26,2015-08-12,17
"433",2372935146,6,1,2015-04-03,2015-04-11,8
"434",2372935146,6,2,2015-04-11,2015-04-25,14
"435",2372935146,6,3,2015-04-25,2015-05-10,15
"436",2372935146,6,4,2015-05-10,2015-05-22,12
"437",2372935146,6,5,2015-05-22,2015-06-12,21
"438",2373167024,2,1,2015-06-09,2015-06-30,21
"439",2381042959,15,1,2014-08-07,2014-08-29,22
"440",2381042959,15,2,2014-12-02,2014-12-23,21
"441",2381042959,15,3,2014-12-24,2015-01-01,8
"442",2381042959,15,4,2015-01-09,2015-01-21,12
"443",2381042959,15,5,2015-01-28,2015-02-09,12
"444",2381042959,15,6,2015-02-10,2015-03-06,24
"445",2381042959,15,7,2015-03-07,2015-03-28,21
"446",2381042959,15,8,2015-03-29,2015-04-08,10
"447",2381042959,15,9,2015-04-08,2015-04-29,21
"448",2381042959,15,10,2015-04-30,2015-05-20,20
